"ID";"Leeftijd";"Marges";"WijkenEnBuurten";"Perioden";"Gemeentenaam_1";"Codering_3";"WekelijkseSporters_6";"Eenzaam_28"
"2";"20300";"MW00000";"NL01";"2020JJ00";"Nederland";"NL01";"48.9";"47.0"
"5";"20300";"MW00000";"GM1680";"2020JJ00";"Aa en Hunze";"GM1680";"45.4";"42.4"
"8";"20300";"MW00000";"WK168000";"2020JJ00";"Aa en Hunze";"WK168000";"47.8";"41.8"
"11";"20300";"MW00000";"BU16800000";"2020JJ00";"Aa en Hunze";"BU16800000";"47.8";"41.9"
"14";"20300";"MW00000";"BU16800009";"2020JJ00";"Aa en Hunze";"BU16800009";"48.3";"39.3"
"17";"20300";"MW00000";"WK168001";"2020JJ00";"Aa en Hunze";"WK168001";"45.2";"41.6"
"20";"20300";"MW00000";"BU16800100";"2020JJ00";"Aa en Hunze";"BU16800100";"45.4";"41.6"
"23";"20300";"MW00000";"BU16800109";"2020JJ00";"Aa en Hunze";"BU16800109";"43.8";"41.7"
"26";"20300";"MW00000";"WK168002";"2020JJ00";"Aa en Hunze";"WK168002";"47.2";"42.5"
"29";"20300";"MW00000";"BU16800200";"2020JJ00";"Aa en Hunze";"BU16800200";"46.2";"43.3"
"32";"20300";"MW00000";"BU16800209";"2020JJ00";"Aa en Hunze";"BU16800209";"51.8";"38.9"
"35";"20300";"MW00000";"WK168003";"2020JJ00";"Aa en Hunze";"WK168003";"49.3";"37.6"
"38";"20300";"MW00000";"BU16800300";"2020JJ00";"Aa en Hunze";"BU16800300";"49.6";"37.7"
"41";"20300";"MW00000";"BU16800309";"2020JJ00";"Aa en Hunze";"BU16800309";"39.1";"31.9"
"44";"20300";"MW00000";"WK168004";"2020JJ00";"Aa en Hunze";"WK168004";"48.0";"37.7"
"47";"20300";"MW00000";"BU16800400";"2020JJ00";"Aa en Hunze";"BU16800400";"47.9";"38.2"
"50";"20300";"MW00000";"BU16800409";"2020JJ00";"Aa en Hunze";"BU16800409";"48.8";"34.2"
"53";"20300";"MW00000";"WK168005";"2020JJ00";"Aa en Hunze";"WK168005";"51.4";"42.2"
"56";"20300";"MW00000";"BU16800500";"2020JJ00";"Aa en Hunze";"BU16800500";"51.6";"41.9"
"59";"20300";"MW00000";"BU16800509";"2020JJ00";"Aa en Hunze";"BU16800509";"50.4";"45.1"
"62";"20300";"MW00000";"WK168006";"2020JJ00";"Aa en Hunze";"WK168006";"46.7";"39.1"
"65";"20300";"MW00000";"BU16800600";"2020JJ00";"Aa en Hunze";"BU16800600";"46.8";"39.0"
"68";"20300";"MW00000";"BU16800609";"2020JJ00";"Aa en Hunze";"BU16800609";"42.8";"42.2"
"71";"20300";"MW00000";"WK168007";"2020JJ00";"Aa en Hunze";"WK168007";"45.9";"40.4"
"74";"20300";"MW00000";"BU16800700";"2020JJ00";"Aa en Hunze";"BU16800700";"45.9";"40.4"
"77";"20300";"MW00000";"BU16800709";"2020JJ00";"Aa en Hunze";"BU16800709";" .";" ."
"80";"20300";"MW00000";"WK168008";"2020JJ00";"Aa en Hunze";"WK168008";"45.8";"37.3"
"83";"20300";"MW00000";"BU16800800";"2020JJ00";"Aa en Hunze";"BU16800800";"44.8";"37.6"
"86";"20300";"MW00000";"BU16800809";"2020JJ00";"Aa en Hunze";"BU16800809";" .";" ."
"89";"20300";"MW00000";"WK168009";"2020JJ00";"Aa en Hunze";"WK168009";"44.9";"39.6"
"92";"20300";"MW00000";"BU16800900";"2020JJ00";"Aa en Hunze";"BU16800900";"44.5";"39.5"
"95";"20300";"MW00000";"BU16800909";"2020JJ00";"Aa en Hunze";"BU16800909";" .";" ."
"98";"20300";"MW00000";"WK168011";"2020JJ00";"Aa en Hunze";"WK168011";"43.7";"41.6"
"101";"20300";"MW00000";"BU16801100";"2020JJ00";"Aa en Hunze";"BU16801100";"43.8";"41.6"
"104";"20300";"MW00000";"BU16801109";"2020JJ00";"Aa en Hunze";"BU16801109";" .";" ."
"107";"20300";"MW00000";"WK168012";"2020JJ00";"Aa en Hunze";"WK168012";"38.7";"44.2"
"110";"20300";"MW00000";"BU16801200";"2020JJ00";"Aa en Hunze";"BU16801200";"38.8";"43.5"
"113";"20300";"MW00000";"BU16801209";"2020JJ00";"Aa en Hunze";"BU16801209";" .";" ."
"116";"20300";"MW00000";"WK168013";"2020JJ00";"Aa en Hunze";"WK168013";"45.8";"39.3"
"119";"20300";"MW00000";"BU16801300";"2020JJ00";"Aa en Hunze";"BU16801300";"44.5";"38.7"
"122";"20300";"MW00000";"BU16801309";"2020JJ00";"Aa en Hunze";"BU16801309";"50.0";"41.0"
"125";"20300";"MW00000";"WK168014";"2020JJ00";"Aa en Hunze";"WK168014";"42.4";"43.1"
"128";"20300";"MW00000";"BU16801400";"2020JJ00";"Aa en Hunze";"BU16801400";"42.7";"42.7"
"131";"20300";"MW00000";"BU16801401";"2020JJ00";"Aa en Hunze";"BU16801401";"47.5";"38.6"
"134";"20300";"MW00000";"BU16801409";"2020JJ00";"Aa en Hunze";"BU16801409";"37.6";"48.4"
"137";"20300";"MW00000";"WK168015";"2020JJ00";"Aa en Hunze";"WK168015";"39.5";"48.0"
